id,text,coding,sentiment
"""1465718816235733008""","Tory ministers must take stronger action against new Covid variant, unions and devolved leaders demand https://t.co/l1sGNbWtJu",,
"""1465718824062304267""",Every single reporter in this country asking questions:When can we have Covid passes When can we have Covid passesWhen can we have Covid passesWhen can we have Covid passesWhen can we have Covid passesWE DONT WANT THEM!,,
"""1465718822078402568""","W/ Austria announcing mandatory vaccination &amp; now also Germanys considering similar move, it should become easier for Cntr&amp;East Europe govs to push for it as well. CEE is suffering of yet another covid wave partly due to low vaccination rates  https://t.co/jkv3PYpAt1@HelZdenek",,
"""1465718824263729153""",tired of covid,,
"""1465718822627725314""",Why Conservatives Adopted a Pro-Choice Slogan (@michelleinbklyn / New York Times)https://t.co/wfr8myHoUShttps://t.co/frjnLOUf7o,,
"""1465718820438519820""",The Opposition in Parliament has tasked the government to undertake necessary measures to detect and prevent the spread of the new Omicron variant of Covid-19.#Wotabadde @radiobuddu98 https://t.co/naAy16BnyA,,
"""1465718800976805892""",'Fox &amp; Friends' hosts baselessly suggested that Democrats are making up new COVID-19 variants to ... https://t.co/83Ei8YWmfX via @YahooNews.  Great tell all your friends and family. Dont get vaccine or wear a mask.Listen to fox for dummies. We need to thin out the herd,,
"""1465718822497701897""","#Pune | Earlier the state govt had announced to reopen the schools from Dec 1, however, after Mumbai now Pune becomes the second municipal corporation in the state to postpone the reopening of schools.https://t.co/JcxbA7CklU",,
"""1465718826344062980""",Omicron COVID variant could be a test of power of natural immunity: Immunologisthttps://t.co/5V3r9boVWG,,
"""1465718815661215753""","On 1-2 December 2021, #OC24 welcomes 320+ speakers on all #organizedcrime topics, from #environmental #crimes fraud, counterfeiting, #drugs  policies, #HumanTrafficking #corruption to the #coronavirus pandemics impact on organized crime @GI_TOC @theIASOC  https://t.co/WXoyJ0Xszf",,
"""1465718825005969413""",@TominatorBMB Need the vax / covid test to take the train here ,,
"""1465718818748174346""",Please would someone tell the Health Secretary that it would be better to bring in support to stop the immunosuppressed from being exposed to Covid rather than saying there are anti-virals they can have if they get it?,,
"""1465718827279339530""","They got y'all minds bottled so much, they come out with a new coronavirus name every 3 months.Covid19 has 5 cousins so far &amp; oh yeah there are more cousins to follow.",,
"""1465718829041000453""","Ontario reaches 10,000 COVID-related deaths https://t.co/Fg4idnyORR",,
"""1465718830148329479""",I see there are not many masks being worn in the PMs press conference. I suppose Covid only gets transmitted on buses and in shops. Oh and there's another cough from the journos....,,
"""1465718831448563719""",I just hope we get this right or else it could be Upsilon (Oops-i-lon) next and eventually Psi (sigh) #Omicron #OmicronVariant #COVID19 https://t.co/1Ukxcl3xxF,,
